"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000232825",1.144004,-3.810299,2.078294,0.04845954,0.1726097,-4.003595
"ENSG00000164175",0.9399946,-4.105866,2.078272,0.0484617,0.1726097,-4.023141
"ENSG00000264345",0.9293444,-4.306762,2.078257,0.04846318,0.1726097,-4.03501
"ENSG00000163428",-0.1896109,5.34829,-2.078208,0.04846812,0.1726097,-5.147377
"ENSG00000207029",0.9237102,-3.836825,2.078194,0.04846947,0.1726097,-4.004318
"ENSG00000256314",-0.8947943,-2.053658,-2.078135,0.04847535,0.1726118,-4.032831
"ENSG00000127837",-0.1711532,7.154387,-2.078079,0.04848098,0.172613,-5.384813
"ENSG00000287535",-1.785197,-3.079234,-2.078005,0.0484883,0.1726203,-4.028738
"ENSG00000129946",1.510485,-2.344441,2.077937,0.04849512,0.1726257,-4.011853
"ENSG00000027644",1.144836,-3.601427,2.077851,0.04850368,0.1726373,-3.993144
"ENSG00000173193",-0.3170106,7.553132,-2.077773,0.04851147,0.1726462,-5.436487
"ENSG00000101076",1.100803,-3.615311,2.077672,0.04852154,0.1726633,-3.993656
"ENSG00000047634",-0.4605074,2.62295,-2.077607,0.0485281,0.1726678,-4.734653
"ENSG00000130299",-0.4187297,4.052415,-2.077361,0.04855261,0.1727234,-4.965216
"ENSG00000286993",1.065742,-3.923099,2.077344,0.04855431,0.1727234,-4.012077
"ENSG00000234474",0.730991,-4.478427,2.077217,0.04856704,0.1727498,-4.048813
"ENSG00000166192",-0.6855666,-0.4121104,-2.077115,0.04857721,0.1727672,-4.242287
"ENSG00000137338",0.4912743,0.7659657,2.076961,0.04859259,0.1727879,-4.426759
"ENSG00000106144",-0.1873585,5.440018,-2.076951,0.04859361,0.1727879,-5.161926
"ENSG00000124785",1.345991,-2.034114,2.076823,0.04860639,0.1728145,-4.035906
"ENSG00000107954",-0.5231485,4.439512,-2.076342,0.04865454,0.1729668,-5.022918
"ENSG00000177294",0.9741143,-2.307051,2.076271,0.04866165,0.1729733,-4.010526
"ENSG00000070985",0.9928007,-3.143646,2.076066,0.04868214,0.1730115,-3.980883
"ENSG00000100823",-0.15528,6.595244,-2.076057,0.048683,0.1730115,-5.315706
"ENSG00000241217",-0.7866563,-1.599598,-2.075906,0.04869813,0.1730389,-4.085684
"ENSG00000184162",-0.2751104,3.365066,-2.075868,0.04870198,0.1730389,-4.862849
"ENSG00000258754",0.9290822,-2.568356,2.075821,0.04870663,0.1730389,-3.992453
"ENSG00000208308",0.9956665,-3.634031,2.075678,0.04872105,0.1730491,-3.99703
"ENSG00000153975",-0.2639815,4.052395,-2.075633,0.04872553,0.1730491,-4.969894
"ENSG00000186723",1.010357,-3.883469,2.075615,0.04872727,0.1730491,-4.012046
"ENSG00000225083",0.8283212,-4.441579,2.075581,0.04873069,0.1730491,-4.04836
"ENSG00000157916",0.1383265,6.934772,2.075329,0.04875601,0.1731202,-5.362018
"ENSG00000267546",-0.8237554,-2.519942,-2.075152,0.04877372,0.1731464,-4.006945
"ENSG00000236457",0.9559021,-4.365984,2.075149,0.048774,0.1731464,-4.042714
"ENSG00000230960",0.9341608,-4.306762,2.074971,0.04879192,0.1731912,-4.040581
